Date,Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Avg. Order Value,Revenue
20170105,Paid Search,"93,136","42,946","126,304",18.77%,9,0:06:08,2.55%,"3,215",R$754.47,"R$2,425,636.19"
20170105,Referral,"34,446","8,286","42,905",14.28%,8.98,0:06:22,3.41%,"1,464",R$774.44,"R$1,133,780.47"
20170105,Social,"13,938","11,541","14,751",34.15%,3.68,0:01:51,0.21%,31,R$459.51,"R$14,244.81"
20170106,(Other),"7,897","2,695","8,941",21.94%,7.07,0:04:17,0.53%,47,R$431.42,"R$20,276.91"
20170106,Direct,"116,617","71,143","136,994",19.08%,7.69,0:05:47,2.32%,"3,172",R$675.75,"R$2,143,488.97"
20170106,Display,"21,301","6,685","30,315",28.37%,6.67,0:04:21,1.47%,446,R$661.87,"R$295,195.73"
20170106,Email,1,0,1,0.00%,18,0:38:04,0.00%,0,R$0.00,R$0.00
20170106,Organic Search,"87,869","31,899","108,812",15.28%,9.32,0:06:52,2.36%,"2,573",R$676.35,"R$1,740,241.80"
20170106,Paid Search,"84,373","37,768","114,921",18.57%,9.34,0:06:19,3.03%,"3,485",R$686.02,"R$2,390,791.04"
20170106,Referral,"31,168","7,341","39,251",14.56%,9.15,0:06:26,3.56%,"1,398",R$643.87,"R$900,134.14"
20170106,Social,"8,722","5,653","9,162",26.44%,5.18,0:02:42,0.39%,36,R$571.31,"R$20,567.20"
20170107,(Other),"21,735","11,479","24,814",18.43%,6.78,0:04:01,0.77%,192,R$328.37,"R$63,046.88"
20170107,Direct,"120,201","79,700","138,682",18.54%,7.78,0:05:41,2.31%,"3,199",R$521.64,"R$1,668,733.30"
20170107,Display,"21,166","6,453","30,207",27.02%,7.22,0:04:42,1.68%,506,R$480.64,"R$243,205.84"
20170107,Organic Search,"78,254","27,828","96,348",15.51%,9.76,0:07:02,2.49%,"2,403",R$542.24,"R$1,303,004.52"
20170107,Paid Search,"68,572","29,479","99,037",19.75%,10.22,0:06:48,3.69%,"3,659",R$557.09,"R$2,038,378.68"
20170107,Referral,"25,086","6,629","31,003",14.40%,9.89,0:06:54,4.63%,"1,434",R$599.09,"R$859,092.51"
20170107,Social,"11,842","6,852","12,853",18.02%,6.5,0:03:14,0.38%,49,R$413.23,"R$20,248.14"
20170108,(Other),"16,488","9,072","18,600",21.55%,6.5,0:03:49,0.96%,179,R$334.86,"R$59,940.74"
20170108,Direct,"123,106","81,314","143,304",19.03%,7.8,0:05:48,2.72%,"3,904",R$502.22,"R$1,960,682.90"
20170108,Display,"20,833","6,463","29,645",26.97%,7.19,0:04:47,1.86%,551,R$537.94,"R$296,402.50"
20170108,Email,3,1,3,0.00%,11,0:05:30,0.00%,0,R$0.00,R$0.00
20170108,Organic Search,"80,447","28,553","99,442",15.77%,9.62,0:07:03,2.63%,"2,611",R$537.72,"R$1,403,990.24"
20170108,Paid Search,"74,913","33,661","109,052",20.25%,9.88,0:06:44,3.79%,"4,135",R$546.83,"R$2,261,147.65"
